Date,رقم القيد,نوع المصرف ,اسم الحساب ,التوصيف,اسم المشروع معدل,اسم المشروع,مبلغ القيد,Type,Code,
1-Jan-20,48,الخدمات,صيانه,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - صيانه ستائر حجاج عبدالفتاح,الادارة العامة ,الادارة العامة ,915.00,الإدارة,2001,
1-Jan-20,49,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - راتب م/ ماجده شوقى,57ع. رؤية,57ع. رؤية,6097.00,المقاولات,4023,
1-Jan-20,50,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مصروفات نثريه انهاء مستخلصات محمود على فتحى,كوبرى القنطرة غرب - اسماعيليه,كوبرى القنطرة غرب - اسماعيليه,4000.00,المقاولات,4060,
1-Jan-20,51,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 2/1/2020 - مأموريات السيد إبراهيم السيد,الاسماعيليه الجديده,الاسماعيليه الجديده,100.00,المقاولات,4038,
1-Jan-20,52,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - راتب محمد زكريا مسلم,محطه صدر الحيطان,محطه صدر الحيطان,2028.00,المقاولات,4009,
1-Jan-20,53,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - مصروفات نثريه - مشتريات سباكه,الادارة العامة ,الادارة العامة ,240.00,الإدارة,2001,
1-Jan-20,53,الخدمات,دعاية وإستقبال وضيافة,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - مصاريف ضيافه - محمد عبدالمنعم لطفى,الادارة العامة ,الادارة العامة ,275.00,الإدارة,2001,
1-Jan-20,53,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - ممدوح الطوخى,الادارة العامة ,الادارة العامة ,50.00,الإدارة,2001,
1-Jan-20,53,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - مصطفى حمايه,الادارة العامة ,الادارة العامة ,150.00,الإدارة,2001,
1-Jan-20,53,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - حامد عبدالوهاب,الادارة العامة ,الادارة العامة ,45.00,الإدارة,2001,
1-Jan-20,53,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - محمد زكريا مسلم,محطه صدر الحيطان,محطه صدر الحيطان,400.00,المقاولات,4009,
1-Jan-20,53,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 5/1/2020 - محمد زكريا مسلم,محطه قريه الريد,محطه قريه الريد,400.00,المقاولات,4010,
1-Jan-20,54,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - شهرين مكافأة نهايه الخدمه - احمد جمال الشنتورى,العاصمه الادرايه,العاصمه الادرايه,5361.00,المقاولات,4058,
1-Jan-20,54,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - احمد الشنتورى,العاصمه الادرايه,العاصمه الادرايه,150.00,المقاولات,4058,
1-Jan-20,55,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - سهر - هاله احمد,الادارة العامة ,الادارة العامة ,35.00,الإدارة,2001,
1-Jan-20,55,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - سهر - إدارة المخازن,الادارة العامة ,الادارة العامة ,150.00,الإدارة,2001,
1-Jan-20,55,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - سهر مصطفى عبدالستار,الادارة العامة ,الادارة العامة ,15.00,الإدارة,2001,
1-Jan-20,55,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - اعاشه باسم محمد محمد الصباحى,الادارة العامة ,الادارة العامة ,1000.00,الإدارة,2001,
1-Jan-20,55,الخدمات,دعاية وإستقبال وضيافة,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - الإدارة الماليه,الادارة العامة ,الادارة العامة ,146.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - محمد مرزوق,الادارة العامة ,الادارة العامة ,135.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - عبدالحميد رجب,الادارة العامة ,الادارة العامة ,50.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - محمدى عبدالسلام - محمد عبدالمنعم,الادارة العامة ,الادارة العامة ,220.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - إدارة الامن,الادارة العامة ,الادارة العامة ,333.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - محمد عبدالباقى,الادارة العامة ,الادارة العامة ,80.00,الإدارة,2001,
1-Jan-20,55,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - جلال معتز,الادارة العامة ,الادارة العامة ,160.00,الإدارة,2001,
1-Jan-20,56,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 6/1/2020 - مرتب عن شهر نوفمبر - احمد خليل طه,مول غرب الشروق,مول غرب الشروق,162.00,المقاولات,4036,
1-Jan-20,57,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - عمل يوم الإدارة الماليه,الادارة العامة ,الادارة العامة ,420.00,الإدارة,2001,
1-Jan-20,57,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - عمل يوم الإدارة الماليه,الادارة العامة ,الادارة العامة ,2435.00,الإدارة,2001,
1-Jan-20,57,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - سهر إدارة المخازن,الادارة العامة ,الادارة العامة ,110.00,الإدارة,2001,
1-Jan-20,57,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - عمل وسهر احمد محمود عبدالرؤوف,الادارة العامة ,الادارة العامة ,160.00,الإدارة,2001,
1-Jan-20,57,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - رد ماتم خصمه - ازهار محمود على,الادارة العامة ,الادارة العامة ,183.92,الإدارة,2001,
1-Jan-20,57,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - مصروفات نثريه - عمرو بخيت,الادارة العامة ,الادارة العامة ,150.00,الإدارة,2001,
1-Jan-20,57,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - مصروفات نثريه - اكراميات عمال نظافه مصر الجديده,الادارة العامة ,الادارة العامة ,245.00,الإدارة,2001,
1-Jan-20,57,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - مصروفات نثريه - اكراميات ,الادارة العامة ,الادارة العامة ,180.00,الإدارة,2001,
1-Jan-20,57,الخدمات,شراء كراسات شروط,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - شراء كراسات شروط المعادى - م/ماجدة,الادارة العامة ,الادارة العامة ,3000.00,الإدارة,2001,
1-Jan-20,57,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - عمرو بخيت,الادارة العامة ,الادارة العامة ,295.00,الإدارة,2001,
1-Jan-20,57,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - حسين عامر,الادارة العامة ,الادارة العامة ,25.00,الإدارة,2001,
1-Jan-20,57,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - حامد عبدالوهاب,الادارة العامة ,الادارة العامة ,45.00,الإدارة,2001,
1-Jan-20,57,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - محمد مرزوق,الادارة العامة ,الادارة العامة ,75.00,الإدارة,2001,
1-Jan-20,57,رسوم_وضرائب,ضرائب,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - رسوم مصر المقاصه ,الادارة العامة ,الادارة العامة ,10.00,الإدارة,2001,
1-Jan-20,58,اجور,مزايا عاملين ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - تدريب العاملين - تامر سعيد حامد,الادارة العامة ,الادارة العامة ,3000.00,الإدارة,2001,
1-Jan-20,58,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - سهر احمد محمد خليل,الادارة العامة ,الادارة العامة ,55.00,الإدارة,2001,
1-Jan-20,58,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - سهر سيد السايح,الادارة العامة ,الادارة العامة ,25.00,الإدارة,2001,
1-Jan-20,58,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - عمل وسهر عبير على - السيد القونى,الادارة العامة ,الادارة العامة ,185.00,الإدارة,2001,
1-Jan-20,58,خامات,خامات ومهمات,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - مصروفات نثريه - جراجات,الادارة العامة ,الادارة العامة ,50.00,الإدارة,2001,
1-Jan-20,58,خامات,مياة,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - استهلاك مياه الشركه القابضه لمياه الشرب,الادارة العامة ,الادارة العامة ,1260.00,الإدارة,2001,
1-Jan-20,58,الخدمات,دعاية وإستقبال وضيافة,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - مصاريف ضيافه - الإدارة الماليه,الادارة العامة ,الادارة العامة ,470.00,الإدارة,2001,
1-Jan-20,58,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - أقامه بالفندق الاسماعيليه محمد عبدالعاطى,الادارة العامة ,الادارة العامة ,1325.00,الإدارة,2001,
1-Jan-20,58,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - احمد محمد خليل,الادارة العامة ,الادارة العامة ,600.00,الإدارة,2001,
1-Jan-20,58,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - عاملين بالإدارة المختلفه,الادارة العامة ,الادارة العامة ,1643.47,الإدارة,2001,
1-Jan-20,58,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - محمد الطنطاوى,الادارة العامة ,الادارة العامة ,50.00,الإدارة,2001,
1-Jan-20,60,اجور,اجور اساسية ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - مرتب محمد رفعت حسن,الاسمرات,الاسمرات,275.00,المقاولات,4029,
1-Jan-20,60,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - محمد رفعت حسن,الاسمرات,الاسمرات,47.00,المقاولات,4029,
1-Jan-20,61,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 9/1/2020 - محمد محمود على - محمود زكى عبد المعطى,78ع. اكتوبر,78ع. اكتوبر,3350.00,المقاولات,4001,
1-Jan-20,62,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 8/1/2020 - قيمه العمل والسهر - احمد محمد عبدالرؤوف,الادارة العامة ,الادارة العامة ,35.00,الإدارة,2001,
1-Jan-20,62,اجور,مزايا عاملين ,اثبات المنصرف من خزينه مصرالجديده يوم 12/1/2020 - الاسترداد النقدى - محمد عاطف,الادارة العامة ,الادارة العامة ,1390.00,الإدارة,2001,
1-Jan-20,62,اجور,اجور اضافية ,اثبات المنصرف من خزينه مصرالجديده يوم 12/1/2020 - مصطفى عبدالستار,الادارة العامة ,الادارة العامة ,25.00,الإدارة,2001,
1-Jan-20,62,الخدمات,إنتقال وبدل سفر ,اثبات المنصرف من خزينه مصرالجديده يوم 12/1/2020 - حامد عبدالوهاب - إدارة الامن - نبيل غريب,الادارة العامة ,الادارة العامة ,725.00,الإدارة,2001,
1-Jan-20,62,الخدمات,فواتير التليفون والتلغراف,اثبات المنصرف من خزينه مصرالجديده يوم 12/1/2020 - فواتير اورنج,الادارة العامة ,الادارة العامة ,306.79,الإدارة,2001,
1-Jan-20,63,اجور,اجور اساسية ,قيد اثبات تمويل خزينه مصر الجديده يوم 12/1/2020 - غياب يوم - كريم علاء ,78ع. اكتوبر,78ع. اكتوبر,-174.00,المقاولات,4001,
1-Jan-20,64,الخدمات,صيانه,تسوية عهدة - عيد عبدالحميد عيد - سيارات,العاصمه الادرايه,العاصمه الادرايه,1127.00,المقاولات,4058,
1-Jan-20,67,الخدمات,صيانه,تسوية عهدة - عيد عبدالحميد عيد - سيارات,مصارف شوبر,مصارف شوبر,60.00,المقاولات,4061,
1-Jan-20,71,خامات,خامات ومهمات,تسوية عهدة - عيد عبدالحميد عيد - مصروفات نثريه - مشتريات,جراج شبرا,جراج شبرا,105.00,الإدارة,2002,
1-Jan-20,71,خامات,كهرباء وإنارة,تسوية عهدة - عيد عبدالحميد عيد - فواتير كهرباء ديسمبر,جراج شبرا,جراج شبرا,3004.63,الإدارة,2002,
1-Jan-20,74,اجور,اجور عماله يوميه - مؤقتة ,تسوية عهدة - عيد عبدالحميد عيد - يوميه عماله,جراج شبرا,جراج شبرا,23520.00,الإدارة,2002,
1-Jan-20,75,خامات,وقود وزيوت,تسوية عهدة - عيد عبدالحميد عيد - فواتير بنزين,جراج شبرا,جراج شبرا,2430.00,الإدارة,2002,
1-Jan-20,75,رسوم_وضرائب,رسوم مرور وتراخيص وانتظار وغرامات,تسوية عهدة - عيد عبدالحميد عيد - كارته طريق,جراج شبرا,جراج شبرا,455.00,الإدارة,2002,
1-Jan-20,76,خامات,وقود وزيوت,تسوية عهدة - عيد عبدالحميد عيد - فواتير بنزين,جراج شبرا,جراج شبرا,1497.00,الإدارة,2002,
1-Jan-20,76,رسوم_وضرائب,رسوم مرور وتراخيص وانتظار وغرامات,تسوية عهدة - عيد عبدالحميد عيد - كارته طريق,جراج شبرا,جراج شبرا,45.00,الإدارة,2002,
1-Jan-20,76,الخدمات,صيانه,تسوية عهدة - عيد عبدالحميد عيد - سيارات,جراج شبرا,جراج شبرا,220.00,الإدارة,2002,
1-Jan-20,77,خامات,وقود وزيوت,تسوية عهدة - عيد عبدالحميد عيد - فواتير بنزين,جراج شبرا,جراج شبرا,2640.00,الإدارة,2002,
1-Jan-20,77,رسوم_وضرائب,رسوم مرور وتراخيص وانتظار وغرامات,تسوية عهدة - عيد عبدالحميد عيد - كارته طريق,جراج شبرا,جراج شبرا,135.00,الإدارة,2002,
1-Jan-20,77,الخدمات,صيانه,تسوية عهدة - عيد عبدالحميد عيد - سيارات,جراج شبرا,جراج شبرا,55.00,الإدارة,2002,
1-Jan-20,78,خامات,وقود وزيوت,تسوية عهدة - عيد عبدالحميد عيد - فواتير بنزين,جراج شبرا,جراج شبرا,650.00,الإدارة,2002,
1-Jan-20,79,الخدمات,نقل ومشال تحميل وتعتيق,تسوية عهدة - عيد عبدالحميد عيد - عروق خشب - صاج,جراج شبرا,جراج شبرا,1000.00,الإدارة,2002,
1-Jan-20,80,اجور,اجور اضافية ,تسوية عهدة - عيد عبدالحميد عيد - عماله,جراج شبرا,جراج شبرا,3800.00,الإدارة,2002,
1-Jan-20,81,الخدمات,صيانه,تسوية عهدة - عيد عبدالحميد عيد - سيارات,جراج شبرا,جراج شبرا,1452.17,الإدارة,2002,
1-Jan-20,82,الخدمات,إنتقال وبدل سفر ,تسوية عهدة - عيد عبدالحميد عيد - مأموريات محمد محمدوح شحات,محطة الريسه,محطة الريسه,2700.00,المقاولات,4056,
1-Jan-20,83,الخدمات,إنتقال وبدل سفر ,تسوية عهدة - عيد عبدالحميد عيد - مأموريات محمد محمدوح شحات,محطه قريه الريد,محطه قريه الريد,75.00,المقاولات,4010,
1-Jan-20,84,الخدمات,إنتقال وبدل سفر ,تسوية عهدة - عيد عبدالحميد عيد - مأموريات محمد محمدوح شحات,محطه صدر الحيطان,محطه صدر الحيطان,675.00,المقاولات,4009,
1-Jan-20,85,الخدمات,إنتقال وبدل سفر ,تسوية عهدة - عيد عبدالحميد عيد - كرم محمود إبراهيم,جراج شبرا,جراج شبرا,120.00,الإدارة,2002,
1-Jan-20,85,اجور,اجور اضافية ,تسوية عهدة - عيد عبدالحميد عيد - هانى كامل محمد,جراج شبرا,جراج شبرا,1245.00,الإدارة,2002,
1-Jan-20,86,الخدمات,أعمال بالمقطوعية,تسوية عهدة - احمد عبدالحميد حسن - مقطوعيه - ايجار رماله - مرمات,78ع. اكتوبر,78ع. اكتوبر,5550.00,المقاولات,4001,
1-Jan-20,87,الخدمات,مصاريف حراسة ,تسوية عهدة - احمد عبدالحميد حسن - حراسه عرب عن شهر ديسمبر,78ع. اكتوبر,78ع. اكتوبر,20000.00,المقاولات,4001,
1-Jan-20,88,اجور,اجور اساسية ,تسوية عهدة - احمد عبدالحميد حسن - مرتب بخيت أبو المجد - شهر أكتوبر ونوفمبر,78ع. اكتوبر,78ع. اكتوبر,7733.00,المقاولات,4001,
1-Jan-20,90,خامات,خامات ومهمات,تسوية عهدة - احمد عبدالحميد حسن - مصروفات نثريه - مصروفات المالك,78ع. اكتوبر,78ع. اكتوبر,1800.00,المقاولات,4001,
1-Jan-20,90,الخدمات,دعاية وإستقبال وضيافة,تسوية عهدة - احمد عبدالحميد حسن - مصروفات البوفيه,78ع. اكتوبر,78ع. اكتوبر,4222.00,المقاولات,4001,
1-Jan-20,91,الخدمات,مصاريف حراسة ,تسوية عهدة - احمد عبدالحميد حسن - حراسه عرب عن شهر ديسمبر,17ع. اكتوبر,17ع. اكتوبر,250.00,المقاولات,4006,
1-Jan-20,92,الخدمات,مصاريف حراسة ,تسوية عهدة - احمد عبدالحميد حسن - حراسه عرب عن شهر ديسمبر,واحه المهندسين,واحه المهندسين,3000.00,المقاولات,4005,
1-Jan-20,93,خامات,خامات ومهمات,تسوية عهدة - عبدالحليم توفيق سلطان - مصروفات نثريه - ضيافه,مصارف البكاتوش,مصارف البكاتوش,100.00,المقاولات,4057,
1-Jan-20,93,الخدمات,صيانه,تسوية عهدة - عبدالحليم توفيق سلطان - سيارات,مصارف البكاتوش,مصارف البكاتوش,50.00,المقاولات,4057,
1-Jan-20,93,الخدمات,صيانه,تسوية عهدة - عبدالحليم توفيق سلطان - معدات,مصارف البكاتوش,مصارف البكاتوش,100.00,المقاولات,4057,
1-Jan-20,94,الخدمات,أعمال بالمقطوعية,تسوية عهدة - عبدالحليم توفيق سلطان - مقطوعيه عمل بريمه اسفل طريق الاسفلت,مصارف البكاتوش,مصارف البكاتوش,9000.00,المقاولات,4057,
1-Jan-20,95,خامات,خامات ومهمات,تسوية عهدة - عبدالحليم توفيق سلطان - مصروفات نثريه - ايجار معدات,مصارف شوبر,مصارف شوبر,1100.00,المقاولات,4061,
1-Jan-20,96,رسوم_وضرائب,رسوم مرور وتراخيص وانتظار وغرامات,تسوية عهدة - عبدالحليم توفيق سلطان - كارته طريق,مصارف البكاتوش,مصارف البكاتوش,1285.00,المقاولات,4057,
1-Jan-20,97,الخدمات,فواتير الانترنت,تسوية عهدة -  حسين عامر - فواتير الانترنت,الادارة العامة ,الادارة العامة ,900.00,الإدارة,2001,
1-Jan-20,97,خامات,خامات ومهمات,تسوية عهدة -  حسين عامر - مصروفات نثريه - شراء وصله تليفون ارضى,الادارة العامة ,الادارة العامة ,5.00,الإدارة,2001,
1-Jan-20,110,رسوم_وضرائب,التأمينات الاجتماعيه,سداد تأمينات مستخلص جارى رقم 1 ,كهرباء مول غرب الشروق,كهرباء مول غرب الشروق,56545.25,المقاولات,4073,
1-Jan-20,118,الخدمات,ايجارات مباني ,ايجار مقر الإدارة 26 يوليو عن شهر ديسمبر 2019 - مصر لادارة الأصول العقاريه,الادارة العامة ,الادارة العامة ,1715.50,الإدارة,2001,
1-Jan-20,135,اجور,اجور عماله يوميه - مؤقتة ,توريد عماله - برفكت سيرفس - ديسمبر 2019,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),10942.00,الاستثمار,7001,
1-Jan-20,141,الخدمات,إنتقال وبدل سفر ,تسوية عهدة محمد طعيمه - مأموريه اسلام مجدى صبحى,العاصمه الادرايه,العاصمه الادرايه,30.00,المقاولات,4058,
1-Jan-20,143,الخدمات,أعمال بالمقطوعية,تسوية عهدة محمد طعيمه - مقطوعيه بياض,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),21375.00,الاستثمار,7001,
1-Jan-20,144,الخدمات,دعاية وإستقبال وضيافة,تسوية عهدة محمد طعيمه - مصاريف بوفيه,المجزر الى,المجزر الى,250.00,المقاولات,4040,
1-Jan-20,145,الخدمات,دعاية وإستقبال وضيافة,تسوية عهدة محمد طعيمه - مصاريف بوفيه,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),250.00,الاستثمار,7001,
1-Jan-20,146,الخدمات,إنتقال وبدل سفر ,تسوية عهدة محمد طعيمه - مأموريات سيد محمد سيد,30ع جاردينا,30ع جاردينا,120.00,المقاولات,4035,
1-Jan-20,151,رسوم_وضرائب,ضرائب,تسوية عهدة عمرو بخيت - رسوم اشتراكات الساده المحامين - نقابه المحامين,الادارة العامة ,الادارة العامة ,5200.00,الإدارة,2001,
1-Jan-20,152,خامات,خامات ومهمات,تسوية عهدة حامد عبدالوهاب - مصروفات نثريه دمغات,الادارة العامة ,الادارة العامة ,190.00,الإدارة,2001,
1-Jan-20,152,خامات,مياة,تسوية عهدة حامد عبدالوهاب - فاتورة مياه - استهلاك ديسمبر,الادارة العامة ,الادارة العامة ,656.50,الإدارة,2001,
1-Jan-20,152,الخدمات,ارساليات البريد,تسوية عهدة حامد عبدالوهاب - بريد 26 يوليو,الادارة العامة ,الادارة العامة ,82.50,الإدارة,2001,
1-Jan-20,152,الخدمات,دعاية وإستقبال وضيافة,تسوية عهدة حامد عبدالوهاب - مصاريف بوفيه,الادارة العامة ,الادارة العامة ,1185.00,الإدارة,2001,
1-Jan-20,159,رسوم_وضرائب,ضرائب,تسوية عهدة احمد عصام - رسوم البورصه المصريه 2020,الادارة العامة ,الادارة العامة ,116698.33,الإدارة,2001,
